股票代码,策略总收益率,策略年化收益率,策略最大回撤,策略夏普比率,策略胜率,策略盈亏比,策略交易次数,买入持有收益率,买入持有最大回撤,买入持有夏普比率,超额收益,回撤改善
002236,-0.377786286,-0.046824357,-0.616660867,-0.118252751,0.5769230769230769,0.007082929076393713,27,0.7367807708374072,-0.631119747,0.26745935782764296,-1.114567057,0.014458879878962988
002241,0.06376025633029037,0.006264264898288463,-0.536360233,0.06443765519400478,0.6785714285714286,0.011334469035333505,29,1.4620050775165598,-0.746004002,0.3620301282436232,-1.398244821,0.20964376864472706
002252,-0.005570969,-0.000646932,-0.476554649,-0.063266369,0.5833333333333334,0.010444459715920017,25,-0.695376003,-0.783145695,-0.375439225,0.6898050336290623,0.306591046762413
002292,-0.665778489,-0.104815088,-0.817566311,-0.259274321,0.48275862068965514,0.004227788470280716,29,-0.737268275,-0.916942229,-0.072085206,0.07148978669279643,0.09937591836783938
002299,0.6832008136199417,0.055278431351053925,-0.483797821,0.21354856972147598,0.696969696969697,0.013623178764156045,33,0.08054796768183392,-0.66602235,0.12168096333131612,0.6026528459381078,0.1822245295395291
002304,-0.164600865,-0.018005895,-0.747456841,-0.0643671,0.4782608695652174,0.01028951742366103,24,0.0685946673141804,-0.771839061,0.10852481879667082,-0.233195532,0.02438221982764162
002310,-0.432971688,-0.057386126,-0.820249918,-0.191086965,0.48148148148148145,0.006727611956080944,28,-0.6502836,-0.9633964,-0.12977317,0.2173119121515927,0.14314648149548617
002385,0.7037991485936828,0.05540475062637418,-0.646742433,0.2232907222708971,0.65625,0.014387483307405002,33,-0.299222017,-0.693426251,0.030077399013187373,1.0030211660330055,0.04668381762607552
002415,0.7736666306075481,0.05962974625754569,-0.537518019,0.23620730799706285,0.7037037037037037,0.014958812187912144,27,2.041839181144333,-0.603746935,0.4117660730427134,-1.268172551,0.06622891532801979
002424,-0.825790225,-0.161844011,-0.871809114,-0.669870939,0.3793103448275862,0.002611573111249875,30,-0.653266833,-0.870629271,-0.184122849,-0.172523392,-0.001179843
002426,-0.671720207,-0.115283297,-0.903117372,-0.31134862,0.5,0.003038932993581552,23,-0.392380451,-0.873500012,0.058413226027948,-0.279339756,-0.029617359
002450,-0.977405521,-0.754058579,-0.980271593,-2.167072415,0.42857142857142855,0.0031946636530800748,8,-0.985689354,-0.992464429,-2.086016321,0.00828383335054255,0.012192836102264409
002456,-0.48055165,-0.06444332,-0.748926762,-0.194814706,0.5384615384615384,0.006926800833685136,27,0.09695677227391863,-0.823097584,0.1882441462590116,-0.577508422,0.07417082137159553
002465,0.7335538925657019,0.059268988854555005,-0.386705961,0.22588300826462895,0.71875,0.017930786542365202,33,0.6945511090631517,-0.48886588,0.24327815573218423,0.039002783502550216,0.10215991924777228
002466,0.02383604187541044,0.00240459995658604,-0.667306198,0.09114767410144814,0.5384615384615384,0.01017431330869557,27,1.4848648359708172,-0.817265495,0.38043870550230424,-1.461028794,0.14995929645660142
002470,-0.53009156,-0.076120302,-0.815155204,-0.292321221,0.6666666666666665,0.005357802801284145,30,-0.600545607,-0.89188466,-0.132278992,0.07045404679024699,0.07672945569405969
002475,1.7267066441444325,0.1066567909897669,-0.527842065,0.396266374515006,0.7,0.023772218493662144,31,7.439329889373052,-0.592746787,0.6460385165480741,-5.712623245,0.06490472186652141
002500,-0.000127278,-1.29E-05,-0.677991537,-0.011385271,0.5161290322580645,0.010264833624754374,32,-0.291017323,-0.702592522,-0.043713314,0.29089004519436357,0.024600984704213003
002568,0.07432149601026872,0.007269128848273132,-0.78565366,0.10388446694585168,0.7142857142857143,0.0117915062583559,29,0.8271455997514074,-0.778435989,0.2945031089176277,-0.752824104,-0.007217671
002594,1.6281985927747287,0.10255041013380971,-0.360582775,0.3857761984804202,0.5555555555555556,0.022478710540041323,27,4.748470614849159,-0.525368626,0.567952930743362,-3.120272022,0.16478585137674528
002673,-0.303222441,-0.036018227,-0.634526855,-0.154986669,0.5185185185185185,0.007693716906881227,28,-0.511894155,-0.766428285,-0.150062245,0.20867171381187824,0.13190143010407007
002714,4.499981089606072,0.18871575463340443,-0.53057458,0.6341545221988945,0.6896551724137931,0.020946588846616387,30,8.272334355295296,-0.637317603,0.6881792295617962,-3.772353266,0.10674302238061933
002736,0.46799554341343885,0.039697747070359,-0.507921898,0.14350288987439386,0.5151515151515151,0.014751205974388124,34,0.12339185629747608,-0.619571806,0.08425352988407211,0.34460368711596273,0.11164990892103262
002739,-0.418697652,-0.063254348,-0.68121343,-0.227828341,0.5555555555555556,0.006580665514943017,27,-0.806037763,-0.845626094,-0.372792495,0.38734011119584133,0.16441266370447224
002797,-0.193251054,-0.021972895,-0.737839419,-0.023599147,0.6363636363636364,0.008610270902429851,33,-0.16964626,-0.846521599,0.08096607873606114,-0.023604794,0.10868217975270668
300002,0.19691886599778763,0.018326276614992754,-0.691297902,0.135164327764651,0.6333333333333333,0.01117633569974321,31,0.39045602131644275,-0.741650837,0.2581112001749666,-0.193537155,0.05035293527864312
300015,-0.147640903,-0.016082245,-0.736998441,-0.027685398,0.4782608695652174,0.009620595238718742,24,2.3064605133818845,-0.779490189,0.42655008401607447,-2.454101416,0.04249174727638703
300017,0.03541737157008873,0.003545968150370671,-0.570350661,0.08311175738717673,0.48275862068965514,0.010239822212955487,29,0.14704274451895727,-0.822488201,0.20056647700499697,-0.111625373,0.25213754022101525
300024,-0.327492654,-0.039290531,-0.707993365,-0.124246049,0.4,0.0061363596767135455,26,-0.241515678,-0.751808206,0.07664230585993764,-0.085976976,0.0438148406396617
300027,0.00850796222881911,0.0008728622308238343,-0.65390028,0.0393568601854205,0.5625,0.01078968628939306,33,-0.846817134,-0.896984946,-0.257300471,0.855325096184146,0.2430846662413468
300033,2.372573318004027,0.13068187411982835,-0.459915229,0.4312908907560599,0.5517241379310345,0.026784360024705075,30,5.9409922847714185,-0.645727606,0.5724089545190455,-3.568418967,0.18581237701934966
300058,0.24554633211425858,0.022431680611634697,-0.663984057,0.16605072729559953,0.5384615384615384,0.011520098655961524,27,1.6812269992419715,-0.664330915,0.3957594177709274,-1.435680667,0.0003468586033328336
