股票代码,文件,数据条数,开始日期,结束日期,策略_总收益率,策略_年化收益率,策略_最大回撤,策略_夏普比率,策略_交易次数,策略_胜率,策略_盈亏比,持有_总收益率,持有_年化收益率,持有_最大回撤,持有_夏普比率,超额收益,胜率优势,回撤改善,夏普提升
002129,df_pre_002129_停牌405_价格异常7_最大异常涨跌幅16.85%.csv,2425,2026-03-06,2016-03-11,1.7524263166295446,0.11094911608464542,0.46735285614526223,0.41511390890910776,15,0.4666666666666667,2.4605479633142084,0.636520545789778,0.0525195928257125,0.8475343660531878,0.2941791515530461,1.1159057708397666,-0.033333333333333326,0.38018150990792554,0.12093475735606168
000858,df_pre_000858_价格异常2_最大异常涨跌幅13.83%.csv,2425,2026-03-06,2016-03-11,1.4181777598001895,0.096102446905171,0.6979517097373211,0.414673003063659,14,0.21428571428571427,1.3342594845751206,4.1541794254418765,0.18578473880924706,0.6598294084204452,0.6019558950711144,-2.736001665641687,-0.2857142857142857,-0.038122301316875884,-0.18728289200745535
002415,df_pre_002415_停牌1_价格异常1_最大异常涨跌幅10.93%.csv,2425,2026-03-06,2016-03-11,1.4287538177696146,0.0965996410933514,0.4519831768215046,0.41396573857166913,12,0.25,2.1802282014520498,2.041839181144333,0.12255162701492339,0.6037469346824197,0.44896084794924274,-0.6130853633747182,-0.25,0.15176375786091512,-0.03499510937757361
300124,df_pre_300124_停牌9.csv,2425,2026-03-06,2016-03-11,1.5761047651391604,0.10333224910259187,0.5153851086512631,0.40928757457741727,23,0.4782608695652174,1.7444209434528894,5.913949352038636,0.22253772204463185,0.5358478640601781,0.6585246075209659,-4.337844586899475,-0.021739130434782594,0.020462755408915068,-0.2492370329435486
601919,df_pre_601919_停牌49_价格异常9_最大异常涨跌幅12.07%.csv,2425,2026-03-06,2016-03-11,1.553128419794502,0.1023055235542163,0.5253337183552182,0.4008579168221225,21,0.23809523809523808,1.8657642894637303,5.110855311765581,0.206951378094006,0.6184690157958688,0.6201211966014027,-3.5577268919710794,-0.2619047619047619,0.09313529744065052,-0.21926327977928023
601225,df_pre_601225_价格异常2_最大异常涨跌幅11.01%.csv,2425,2026-03-06,2016-03-11,1.461993216348426,0.09814973605269617,0.46348953649676283,0.39947647870024106,16,0.375,1.8945907857980893,8.56909281970176,0.264531531926804,0.331202556931682,0.7830472621537259,-7.107099603353334,-0.125,-0.13228697956508084,-0.38357078345348483
600900,df_pre_600900_停牌9.csv,2425,2026-03-06,2016-03-11,0.866441865336715,0.0669968883263985,0.1886481145289236,0.39066892126229963,16,0.5,3.343202882043296,2.2334638200000985,0.12970080477382573,0.175402393726785,0.6865263417711824,-1.3670219546633835,0.0,-0.013245720802138594,-0.2958574205088828
600362,df_pre_600362_价格异常4_最大异常涨跌幅15.45%.csv,2425,2026-03-06,2016-03-11,1.4236240665006812,0.09635872764840325,0.49943816383974393,0.38484063842827787,18,0.2222222222222222,0.9326915661877655,3.435004728464829,0.1674106016826049,0.4989872002058613,0.5439816182813202,-2.011380661964148,-0.2777777777777778,-0.0004509636338826395,-0.15914097985304232
002049,df_pre_002049_停牌122_价格异常3_最大异常涨跌幅16.51%.csv,2425,2026-03-06,2016-03-11,1.4679874541742368,0.09842727516637306,0.45602807507371934,0.383781227056938,19,0.5263157894736842,2.0812204296387087,0.9900810484178233,0.07413263131583614,0.7360085301751842,0.34412714052907123,0.4779064057564135,0.02631578947368418,0.27998045510146485,0.03965408652786678
600415,df_pre_600415_价格异常11_最大异常涨跌幅12.79%.csv,2425,2026-03-06,2016-03-11,1.341675949412791,0.09244683375084484,0.5109573364123658,0.3768026743822218,14,0.42857142857142855,4.357437119013895,1.3572958099759909,0.0932018304444695,0.6266384644755807,0.3698549310413984,-0.015619860563199861,-0.07142857142857145,0.11568112806321484,0.006947743340823431
600066,df_pre_600066_停牌1_价格异常61_最大异常涨跌幅24.92%.csv,2425,2026-03-06,2016-03-11,1.412318822400001,0.09582617132850024,0.6754062771117363,0.3765040405824422,15,0.4666666666666667,2.32066931531449,2.28125,0.1314243714169474,0.8835758835758836,0.4663861511473631,-0.868931177599999,-0.033333333333333326,0.20816960646414728,-0.0898821105649209
300033,df_pre_300033_价格异常1_最大异常涨跌幅20.00%.csv,2425,2026-03-06,2016-03-11,1.3971994215018597,0.09511043504986083,0.5853370253446772,0.37321506329428045,15,0.4,2.2044227792128295,5.9409922847714185,0.22303376443633516,0.6457276061316388,0.6009311749708808,-4.543792863269559,-0.09999999999999998,0.06039058078696158,-0.22771611167660033
600666,df_pre_600666_停牌268_价格异常24_最大异常涨跌幅15.02%.csv,2425,2026-03-06,2016-03-11,1.331448614716344,0.0919500399804345,0.5932654978709522,0.3697544018731721,14,0.5,2.485979448240392,-0.6640894551239171,-0.10717502018610003,0.9622740132597006,-0.03812170787902451,1.9955380698402612,0.0,0.36900851538874846,0.4078761097521966
000725,df_pre_000725_价格异常4_最大异常涨跌幅14.31%.csv,2425,2026-03-06,2016-03-11,1.1681979448403408,0.08374365807520845,0.43252731830537205,0.3602471402602748,13,0.23076923076923078,1.9307449616278107,1.063672562694089,0.07819345805007183,0.6104975573187092,0.331990371279215,0.10452538214625173,-0.2692307692307692,0.1779702390133372,0.028256768981059832
000568,df_pre_000568_停牌17_价格异常4_最大异常涨跌幅14.86%.csv,2425,2026-03-06,2016-03-11,1.0462962096827515,0.07724646369825239,0.5847442665722926,0.33726052691296127,16,0.4375,1.4635208105458837,5.085099627952025,0.20642174979405836,0.6514639995653558,0.6195315159362093,-4.038803418269273,-0.0625,0.06671973299306322,-0.282270989023248
601985,df_pre_601985_价格异常2_最大异常涨跌幅10.10%.csv,2425,2026-03-06,2016-03-11,0.8949960530048928,0.06868169026387583,0.31120837335031604,0.33429795817958186,12,0.5,2.749806279405284,0.5359403937957394,0.0456047862926372,0.4722504795582798,0.22229547996483118,0.3590556592091534,0.0,0.16104210620796378,0.11200247821475068
002142,df_pre_002142_停牌5.csv,2425,2026-03-06,2016-03-11,0.9612973343433491,0.0725076293917819,0.496443723127056,0.33089292947302584,13,0.38461538461538464,1.5206253503790517,3.10957420180544,0.15820183194375947,0.5274634968915239,0.5616219449599602,-2.148276867462091,-0.11538461538461536,0.03101977376446796,-0.23072901548693436
000063,df_pre_000063_停牌62_价格异常4_最大异常涨跌幅10.02%.csv,2425,2026-03-06,2016-03-11,1.0224385207141582,0.07593443529645327,0.6239014560781218,0.32528729750297136,14,0.42857142857142855,1.6781536259012935,1.7370534233514192,0.11030270001774722,0.6986301369863014,0.41116378750326465,-0.714614902637261,-0.07142857142857145,0.07472868090817963,-0.08587649000029329
000977,df_pre_000977_停牌10_价格异常6_最大异常涨跌幅12.75%.csv,2425,2026-03-06,2016-03-11,0.9396382269587968,0.07127070011998748,0.5168828456370161,0.3188570503330036,14,0.42857142857142855,2.2440052809913023,2.589054145785562,0.14201589737070974,0.5871339297337014,0.47369509222147776,-1.649415918826765,-0.07142857142857145,0.07025108409668523,-0.15483804188847416
603993,df_pre_603993_停牌18_价格异常7_最大异常涨跌幅15.30%.csv,2425,2026-03-06,2016-03-11,0.9118733016365217,0.06966684348387342,0.6663418783558088,0.3116066699904764,19,0.3157894736842105,0.6666770784885204,6.51792461688902,0.23322390064307408,0.6401681701855366,0.6464327555962449,-5.606051315252498,-0.1842105263157895,-0.026173708170272203,-0.3348260856057685
