股票代码,策略总收益率(%),策略年化收益率(%),策略最大回撤(%),策略夏普比率,策略胜率(%),策略盈亏比,策略交易次数,买入持有收益率(%),买入持有最大回撤(%),买入持有夏普比率,超额收益(%),回撤改善(%)
002424,-0.8257902251831052,-0.1618440112222318,-0.8718091140167452,-0.6698709390379872,0.3793103448275862,0.002611573111249875,30,-0.6532668328147495,-0.870629271025019,-0.1841228487315034,-0.17252339236835568,-0.0011798429917261898
002426,-0.6717202070307486,-0.11528329692635786,-0.9031173715865358,-0.3113486196041342,0.5,0.003038932993581552,23,-0.39238045085370543,-0.8735000124785111,0.058413226027948,-0.2793397561770432,-0.029617359108024745
002450,-0.9774055209701541,-0.754058578537689,-0.9802715926954287,-2.1670724149623783,0.42857142857142855,0.0031946636530800748,8,-0.9856893543206966,-0.9924644287976931,-2.0860163211457596,0.00828383335054255,0.012192836102264409
002456,-0.48055164962040275,-0.06444331967209771,-0.7489267622841607,-0.1948147057370157,0.5384615384615384,0.006926800833685136,27,0.09695677227391863,-0.8230975836557561,0.1882441462590116,-0.5775084218943214,0.07417082137159553
002465,0.7335538925657019,0.059268988854555005,-0.386705960963187,0.22588300826462895,0.71875,0.017930786542365202,33,0.6945511090631517,-0.4888658802109592,0.24327815573218423,0.039002783502550216,0.10215991924777228
002466,0.02383604187541044,0.00240459995658604,-0.6673061984398942,0.09114767410144814,0.5384615384615384,0.01017431330869557,27,1.4848648359708172,-0.8172654948964957,0.38043870550230424,-1.461028794095407,0.14995929645660142
002470,-0.5300915598647995,-0.0761203020514637,-0.8151552043000432,-0.29232122085316925,0.6666666666666665,0.005357802801284145,30,-0.6005456066550465,-0.8918846599941028,-0.132278991695207,0.07045404679024699,0.07672945569405969
002475,1.7267066441444325,0.1066567909897669,-0.5278420653549772,0.396266374515006,0.7,0.023772218493662144,31,7.439329889373052,-0.5927467872214986,0.6460385165480741,-5.712623245228619,0.06490472186652141
002500,-0.000127278061605951,-1.2886325948202604e-05,-0.677991537120024,-0.01138527117473543,0.5161290322580645,0.010264833624754374,32,-0.2910173232559695,-0.702592521824237,-0.04371331381865592,0.29089004519436357,0.024600984704213003
002568,0.07432149601026872,0.007269128848273132,-0.7856536600257474,0.10388446694585168,0.7142857142857143,0.0117915062583559,29,0.8271455997514074,-0.7784359890490947,0.2945031089176277,-0.7528241037411388,-0.007217670976652784
002594,1.6281985927747287,0.10255041013380971,-0.3605827751088194,0.3857761984804202,0.5555555555555556,0.022478710540041323,27,4.748470614849159,-0.5253686264855647,0.567952930743362,-3.1202720220744307,0.16478585137674528
002673,-0.3032224408907973,-0.036018227263623026,-0.6345268551749691,-0.15498666907576458,0.5185185185185185,0.007693716906881227,28,-0.5118941547026755,-0.7664282852790392,-0.15006224485510272,0.20867171381187824,0.13190143010407007
002714,4.499981089606072,0.18871575463340443,-0.530574580453121,0.6341545221988945,0.6896551724137931,0.020946588846616387,30,8.272334355295296,-0.6373176028337404,0.6881792295617962,-3.7723532656892247,0.10674302238061933
002736,0.46799554341343885,0.039697747070359,-0.507921897574805,0.14350288987439386,0.5151515151515151,0.014751205974388124,34,0.12339185629747608,-0.6195718064958377,0.08425352988407211,0.34460368711596273,0.11164990892103262
002739,-0.41869765210070164,-0.0632543483526039,-0.6812134301820582,-0.2278283408179423,0.5555555555555556,0.006580665514943017,27,-0.806037763296543,-0.8456260938865304,-0.372792495392224,0.38734011119584133,0.16441266370447224
002797,-0.1932510544366287,-0.021972895231879175,-0.7378394192629041,-0.023599147020834862,0.6363636363636364,0.008610270902429851,33,-0.1696462599927362,-0.8465215990156107,0.08096607873606114,-0.023604794443892522,0.10868217975270668
300002,0.19691886599778763,0.018326276614992754,-0.691297901936337,0.135164327764651,0.6333333333333333,0.01117633569974321,31,0.39045602131644275,-0.74165083721498,0.2581112001749666,-0.19353715531865512,0.05035293527864312
300015,-0.14764090273821795,-0.016082245151282537,-0.7369984412669648,-0.027685397944044073,0.4782608695652174,0.009620595238718742,24,2.3064605133818845,-0.7794901885433518,0.42655008401607447,-2.4541014161201025,0.04249174727638703
300017,0.03541737157008873,0.003545968150370671,-0.5703506605259159,0.08311175738717673,0.48275862068965514,0.010239822212955487,29,0.14704274451895727,-0.8224882007469312,0.20056647700499697,-0.11162537294886855,0.25213754022101525
300024,-0.32749265389673476,-0.03929053077097988,-0.7079933651644259,-0.12424604900275342,0.4,0.0061363596767135455,26,-0.24151567817824493,-0.7518082058040876,0.07664230585993764,-0.08597697571848982,0.0438148406396617
300027,0.00850796222881911,0.0008728622308238343,-0.65390027957777,0.0393568601854205,0.5625,0.01078968628939306,33,-0.8468171339553269,-0.8969849458191167,-0.25730047105947057,0.855325096184146,0.2430846662413468
300033,2.372573318004027,0.13068187411982835,-0.4599152291122891,0.4312908907560599,0.5517241379310345,0.026784360024705075,30,5.9409922847714185,-0.6457276061316388,0.5724089545190455,-3.568418966767392,0.18581237701934966
300058,0.24554633211425858,0.022431680611634697,-0.6639840567637104,0.16605072729559953,0.5384615384615384,0.011520098655961524,27,1.6812269992419715,-0.6643309153670433,0.3957594177709274,-1.435680667127713,0.0003468586033328336
300059,8.900975511976664,0.2611317909248412,-0.3562173203044467,0.7785297396920744,0.65625,0.04246984657158551,33,3.1014030431839883,-0.626547140761546,0.4728453129031048,5.799572468792676,0.27032982045709936
300070,-0.33243718733941685,-0.04031600590074847,-0.5886116952151609,-0.18353309809030238,0.43333333333333335,0.006226714180313144,30,-0.6877728038329866,-0.8528127021985504,-0.24587843079365285,0.35533561649356976,0.26420100698338955
300072,0.13316623176477904,0.012800858009850646,-0.7368075055203911,0.11443521737650104,0.6842105263157895,0.010493954713599693,38,-0.42610653690914746,-0.9456848235078279,0.06739955266296196,0.5592727686739265,0.20887731798743672
300085,1.1169124384728621,0.08132503818768466,-0.6574129175319365,0.32460403834019425,0.5555555555555556,0.016553817460179636,28,0.39235722603879064,-0.8058389523657761,0.2971979711063045,0.7245552124340716,0.14842603483383954
300104,-0.9879518133912,-0.8807993534906182,-0.9896544320592188,-2.076815830465333,0.33333333333333326,0.00025990991079797015,4,-0.9938704284582767,-0.9942109609557656,-2.1152214259487394,0.005918615067076729,0.004556528896546865
300124,0.1647905876960154,0.015589062052630664,-0.45917211534254754,0.049807701337332734,0.6296296296296297,0.01238065063624178,28,5.913949352038636,-0.535847864060178,0.6217494664024447,-5.749158764342621,0.07667574871763051
300133,-0.10215533137863597,-0.0108278630356059,-0.5060798301507179,0.008247760347503349,0.6129032258064516,0.009093130432753711,31,-0.4171480010522325,-0.7654623536519093,0.06925792331454127,0.3149926696735965,0.25938252350119134
300144,0.695001683363816,0.054759076398887885,-0.5089262629109319,0.21809204705808646,0.7,0.015814427685286604,30,-0.3380963116581663,-0.6798150337733366,-0.02104733671863399,1.033097995021982,0.17088877086240473
